PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3
DVU0836,0.034,0.049,0.038,0.038,0.051,0.066,0.082,0.054,0.056,0.076,0.07,0.037,0.018,0.062,0.049,0.029,0.077,0.057,0.056
DVU0837,0.032,0.057,0.042,0.034,0.058,0.062,0.075,0.066,0.06,0.066,0.057,0.038,0.014,0.077,0.048,0.029,0.073,0.057,0.056
DVU0838,0.077,0.053,0.07,0.021,0.067,0.049,0.088,0.039,0.063,0.07,0.053,0.053,0.011,0.07,0.032,0.004,0.072,0.055,0.057
DVU0839,0.061,0.054,0.054,0.027,0.051,0.084,0.078,0.037,0.061,0.074,0.047,0.047,0.02,0.037,0.054,0.02,0.076,0.064,0.053
DVU0840,0.039,0.045,0.048,0.039,0.061,0.065,0.087,0.036,0.06,0.084,0.08,0.036,0.011,0.056,0.045,0.02,0.075,0.058,0.055
DVU0841,0.023,0.047,0.032,0.028,0.049,0.084,0.099,0.055,0.045,0.089,0.062,0.042,0.013,0.067,0.045,0.03,0.076,0.058,0.055
DVU0842,0.049,0.032,0.067,0.035,0.06,0.078,0.081,0.039,0.06,0.095,0.042,0.035,0.014,0.053,0.046,0.025,0.074,0.055,0.06
DVU0843,0.028,0.046,0.03,0.03,0.052,0.105,0.094,0.059,0.049,0.098,0.058,0.028,0.005,0.061,0.051,0.025,0.072,0.058,0.053
DVU0845,0.057,0.069,0.031,0.025,0.06,0.053,0.041,0.066,0.053,0.047,0.06,0.041,0.016,0.05,0.069,0.078,0.072,0.058,0.054
DVU0846,0.052,0.05,0.042,0.033,0.052,0.098,0.073,0.052,0.062,0.07,0.047,0.036,0.011,0.057,0.052,0.031,0.071,0.059,0.053
DVU0847,0.044,0.057,0.036,0.03,0.051,0.082,0.082,0.053,0.053,0.076,0.052,0.042,0.017,0.053,0.054,0.022,0.077,0.06,0.057
DVU0848,0.051,0.041,0.056,0.028,0.055,0.07,0.084,0.046,0.055,0.078,0.052,0.05,0.014,0.066,0.044,0.024,0.074,0.057,0.055
DVU0849,0.035,0.049,0.043,0.031,0.051,0.081,0.083,0.049,0.059,0.077,0.052,0.048,0.013,0.057,0.059,0.021,0.076,0.061,0.053
DVU0850,0.03,0.041,0.033,0.031,0.053,0.085,0.069,0.067,0.034,0.071,0.057,0.058,0.016,0.077,0.062,0.025,0.075,0.063,0.052
DVU0851,0.051,0.035,0.057,0.027,0.047,0.073,0.078,0.051,0.06,0.085,0.062,0.045,0.011,0.056,0.056,0.026,0.072,0.06,0.048
DVU0852,0.027,0.04,0.044,0.044,0.04,0.041,0.073,0.051,0.067,0.076,0.066,0.049,0.021,0.048,0.075,0.035,0.08,0.06,0.061
DVU0853,0.032,0.057,0.04,0.042,0.069,0.06,0.088,0.039,0.053,0.082,0.068,0.037,0.016,0.057,0.044,0.018,0.081,0.059,0.059
DVU0854,0.033,0.064,0.033,0.038,0.07,0.065,0.086,0.042,0.055,0.08,0.061,0.032,0.009,0.055,0.048,0.032,0.079,0.058,0.06
DVU0855,0.029,0.062,0.04,0.036,0.078,0.078,0.078,0.041,0.045,0.084,0.059,0.037,0.015,0.051,0.049,0.017,0.082,0.056,0.061
DVU0856,0.034,0.054,0.045,0.033,0.058,0.072,0.087,0.046,0.059,0.079,0.056,0.043,0.014,0.058,0.05,0.02,0.077,0.06,0.055
DVU0857,0.047,0.059,0.043,0.024,0.06,0.079,0.084,0.052,0.052,0.08,0.056,0.039,0.014,0.057,0.045,0.022,0.075,0.057,0.054
DVU0858,0.018,0.054,0.038,0.033,0.065,0.085,0.08,0.048,0.044,0.082,0.062,0.044,0.015,0.057,0.053,0.027,0.079,0.057,0.06
DVU0859,0.021,0.048,0.033,0.033,0.062,0.096,0.086,0.046,0.038,0.092,0.069,0.038,0.014,0.054,0.05,0.024,0.078,0.059,0.056
DVU4019,0.022,0.054,0.028,0.034,0.067,0.109,0.085,0.049,0.04,0.095,0.058,0.03,0.009,0.053,0.052,0.024,0.077,0.057,0.057
DVU0861,0.027,0.053,0.027,0.033,0.057,0.09,0.092,0.05,0.038,0.093,0.058,0.039,0.019,0.053,0.05,0.023,0.081,0.059,0.059
DVU0862,0.031,0.057,0.044,0.023,0.076,0.101,0.09,0.044,0.036,0.108,0.064,0.026,0.012,0.045,0.037,0.015,0.077,0.058,0.056
DVU0863,0.046,0.073,0.049,0.029,0.08,0.063,0.086,0.046,0.057,0.073,0.05,0.033,0.014,0.066,0.029,0.014,0.078,0.061,0.054
DVU0864,0.009,0.055,0.033,0.023,0.056,0.092,0.098,0.058,0.049,0.105,0.063,0.036,0.006,0.052,0.059,0.018,0.077,0.057,0.056
DVU0865,0.021,0.048,0.034,0.034,0.065,0.073,0.082,0.057,0.044,0.088,0.073,0.038,0.008,0.068,0.053,0.027,0.075,0.059,0.053
DVU0866,0.026,0.059,0.028,0.035,0.065,0.08,0.097,0.046,0.047,0.094,0.076,0.03,0.009,0.055,0.047,0.014,0.079,0.058,0.057
DVU0867,0.02,0.057,0.027,0.028,0.061,0.092,0.103,0.049,0.047,0.096,0.067,0.034,0.004,0.06,0.047,0.02,0.076,0.057,0.056
DVU0868,0.016,0.039,0.025,0.025,0.05,0.073,0.078,0.078,0.029,0.107,0.069,0.043,0.01,0.061,0.075,0.029,0.077,0.058,0.054
DVU0869,0.028,0.062,0.043,0.032,0.07,0.08,0.084,0.045,0.053,0.093,0.052,0.029,0.015,0.045,0.046,0.024,0.08,0.057,0.06
DVU0870,0.064,0.05,0.058,0.032,0.064,0.077,0.092,0.039,0.066,0.088,0.047,0.026,0.01,0.058,0.029,0.016,0.073,0.058,0.052
DVU0871,0.042,0.052,0.041,0.035,0.069,0.07,0.08,0.043,0.047,0.086,0.065,0.042,0.011,0.054,0.054,0.017,0.079,0.057,0.057
DVU0872,0.029,0.049,0.04,0.035,0.054,0.066,0.09,0.057,0.054,0.082,0.071,0.031,0.015,0.071,0.037,0.033,0.074,0.058,0.056
DVU0873,0.051,0.043,0.064,0.022,0.051,0.081,0.081,0.046,0.071,0.094,0.054,0.035,0.006,0.041,0.056,0.026,0.07,0.059,0.048
DVU0874,0.048,0.05,0.05,0.036,0.067,0.087,0.092,0.035,0.06,0.08,0.046,0.035,0.01,0.064,0.033,0.021,0.075,0.064,0.048
DVU0875,0.031,0.063,0.036,0.024,0.06,0.089,0.092,0.045,0.052,0.076,0.064,0.047,0.009,0.058,0.048,0.018,0.076,0.06,0.052
DVU0876,0.023,0.057,0.033,0.038,0.068,0.084,0.087,0.044,0.048,0.077,0.064,0.04,0.012,0.065,0.045,0.021,0.079,0.057,0.058
DVU0877,0.006,0.061,0.05,0.039,0.067,0.089,0.083,0.033,0.05,0.061,0.017,0.067,0.033,0.061,0.044,0.033,0.09,0.059,0.058
DVU0878,0.032,0.074,0.043,0.032,0.072,0.074,0.095,0.036,0.063,0.081,0.052,0.034,0.014,0.047,0.041,0.014,0.082,0.059,0.058
DVU0879,0.025,0.055,0.08,0.037,0.104,0.08,0.018,0.061,0.055,0.068,0.061,0.012,0.012,0.061,0.037,0.074,0.065,0.047,0.047
DVU0880,0.054,0.066,0.045,0.035,0.078,0.043,0.068,0.037,0.052,0.07,0.058,0.043,0.016,0.047,0.052,0.037,0.082,0.06,0.057
DVU0881,0.04,0.055,0.042,0.028,0.054,0.08,0.088,0.05,0.06,0.079,0.069,0.037,0.011,0.058,0.047,0.019,0.074,0.058,0.052
DVU0882,0.019,0.028,0.04,0.043,0.036,0.042,0.101,0.036,0.068,0.095,0.075,0.059,0.007,0.05,0.082,0.024,0.081,0.057,0.056
DVU0883,0.057,0.044,0.063,0.031,0.063,0.038,0.047,0.044,0.06,0.069,0.054,0.06,0.016,0.041,0.079,0.044,0.078,0.055,0.058
DVU0884,0.037,0.058,0.035,0.039,0.053,0.051,0.085,0.042,0.055,0.074,0.06,0.048,0.023,0.048,0.058,0.028,0.085,0.056,0.065
DVU0885,0.037,0.064,0.037,0.021,0.052,0.086,0.088,0.061,0.057,0.082,0.053,0.035,0.012,0.055,0.05,0.026,0.074,0.057,0.055
DVU0886,0.023,0.05,0.025,0.039,0.039,0.068,0.099,0.05,0.052,0.089,0.072,0.041,0.023,0.048,0.058,0.017,0.082,0.06,0.063
DVU0887,0.017,0.045,0.028,0.025,0.043,0.076,0.091,0.054,0.044,0.101,0.109,0.039,0.012,0.041,0.066,0.02,0.076,0.058,0.056
DVU0888,0.024,0.044,0.042,0.027,0.05,0.051,0.091,0.048,0.053,0.088,0.077,0.054,0.009,0.056,0.064,0.03,0.078,0.057,0.057
DVU0889,0.021,0.055,0.031,0.03,0.06,0.088,0.088,0.046,0.046,0.102,0.084,0.028,0.01,0.038,0.057,0.024,0.077,0.059,0.056
DVU0890,0.023,0.053,0.04,0.028,0.063,0.077,0.099,0.043,0.047,0.102,0.075,0.035,0.011,0.049,0.046,0.016,0.079,0.058,0.058
DVU0891,0.027,0.054,0.037,0.031,0.064,0.102,0.085,0.048,0.046,0.083,0.058,0.037,0.012,0.06,0.045,0.021,0.076,0.057,0.058
DVU0892,0.021,0.037,0.028,0.029,0.038,0.053,0.109,0.032,0.049,0.105,0.109,0.058,0.006,0.037,0.076,0.018,0.081,0.058,0.055
DVU0893,0.027,0.045,0.04,0.032,0.043,0.075,0.104,0.049,0.054,0.095,0.062,0.042,0.018,0.055,0.049,0.017,0.079,0.057,0.058
DVU0894,0.019,0.048,0.034,0.03,0.053,0.072,0.111,0.036,0.047,0.102,0.083,0.042,0.011,0.051,0.047,0.02,0.08,0.06,0.055
DVU0895,0.028,0.05,0.041,0.033,0.06,0.069,0.088,0.043,0.05,0.086,0.075,0.044,0.014,0.055,0.051,0.02,0.079,0.058,0.057
DVU0896,0.017,0.048,0.025,0.032,0.05,0.082,0.09,0.047,0.043,0.093,0.083,0.047,0.012,0.046,0.067,0.022,0.08,0.057,0.059
DVU0897,0.016,0.04,0.032,0.023,0.041,0.071,0.104,0.045,0.042,0.103,0.084,0.054,0.011,0.047,0.064,0.028,0.079,0.056,0.058
DVU0898,0.027,0.042,0.044,0.03,0.041,0.048,0.101,0.05,0.071,0.103,0.08,0.035,0.005,0.046,0.064,0.028,0.075,0.055,0.057
DVU0899,0.025,0.053,0.037,0.053,0.074,0.059,0.09,0.037,0.065,0.068,0.059,0.04,0.003,0.081,0.047,0.016,0.078,0.058,0.057
DVU0900,0.031,0.061,0.035,0.023,0.042,0.064,0.109,0.049,0.064,0.093,0.058,0.038,0.014,0.045,0.051,0.031,0.079,0.057,0.056
DVU0901,0.015,0.045,0.033,0.026,0.05,0.064,0.097,0.039,0.043,0.087,0.097,0.06,0.009,0.055,0.062,0.025,0.078,0.059,0.056
DVU0902,0.044,0.059,0.06,0.026,0.06,0.067,0.089,0.04,0.073,0.077,0.055,0.04,0.011,0.053,0.041,0.019,0.074,0.057,0.057
DVU0903,0.02,0.041,0.032,0.034,0.051,0.059,0.085,0.057,0.042,0.103,0.083,0.04,0.014,0.048,0.069,0.026,0.08,0.06,0.056
DVU0904,0.022,0.042,0.031,0.033,0.046,0.059,0.098,0.048,0.05,0.096,0.086,0.044,0.01,0.054,0.062,0.025,0.078,0.058,0.057
DVU0905,0.025,0.058,0.027,0.029,0.063,0.09,0.094,0.048,0.039,0.095,0.052,0.042,0.013,0.052,0.055,0.022,0.081,0.056,0.059
DVU0906,0.026,0.061,0.029,0.03,0.055,0.076,0.092,0.058,0.055,0.073,0.072,0.035,0.009,0.071,0.043,0.031,0.073,0.058,0.054
DVU0907,0.03,0.047,0.046,0.015,0.042,0.084,0.114,0.037,0.061,0.103,0.085,0.037,0.005,0.043,0.041,0.031,0.071,0.057,0.052
DVU0908,0.02,0.053,0.031,0.028,0.055,0.093,0.091,0.056,0.046,0.094,0.071,0.031,0.01,0.055,0.05,0.027,0.075,0.057,0.055
DVU0909,0.034,0.044,0.044,0.036,0.061,0.063,0.089,0.047,0.047,0.107,0.044,0.038,0.016,0.044,0.061,0.022,0.083,0.056,0.062
DVU0910,0.032,0.049,0.045,0.043,0.068,0.064,0.082,0.036,0.062,0.068,0.059,0.049,0.007,0.068,0.052,0.023,0.077,0.061,0.055
DVU0911,0.016,0.06,0.032,0.032,0.069,0.092,0.078,0.049,0.044,0.09,0.071,0.034,0.012,0.046,0.058,0.02,0.078,0.058,0.06
DVU0912,0.053,0.05,0.056,0.035,0.065,0.075,0.09,0.039,0.065,0.099,0.051,0.021,0.008,0.046,0.04,0.018,0.075,0.055,0.058
DVU0913,0.075,0.062,0.058,0.021,0.065,0.05,0.086,0.058,0.062,0.093,0.034,0.024,0.011,0.054,0.037,0.026,0.074,0.052,0.057
DVU0914,0.011,0.045,0.023,0.042,0.059,0.064,0.083,0.057,0.036,0.101,0.086,0.034,0.015,0.052,0.065,0.029,0.081,0.06,0.057
DVU0915,0.018,0.06,0.028,0.044,0.062,0.081,0.083,0.043,0.043,0.084,0.07,0.03,0.026,0.044,0.047,0.028,0.084,0.059,0.063
DVU0916,0.057,0.055,0.034,0.037,0.067,0.055,0.075,0.049,0.039,0.061,0.057,0.054,0.019,0.075,0.046,0.024,0.08,0.057,0.061
DVU0917,0.029,0.023,0.02,0.046,0.046,0.101,0.078,0.068,0.026,0.088,0.072,0.039,0.016,0.082,0.055,0.02,0.073,0.065,0.053
DVU0918,0.029,0.042,0.024,0.04,0.057,0.061,0.068,0.073,0.032,0.066,0.064,0.049,0.017,0.09,0.054,0.044,0.076,0.06,0.053
DVU0919,0.032,0.037,0.039,0.026,0.037,0.035,0.061,0.073,0.037,0.061,0.091,0.067,0.028,0.073,0.065,0.045,0.077,0.055,0.059
DVU0920,0.05,0.06,0.044,0.034,0.054,0.032,0.068,0.052,0.062,0.062,0.088,0.04,0.022,0.052,0.052,0.036,0.076,0.061,0.058
DVU0921,0.026,0.026,0.052,0.028,0.03,0.04,0.096,0.043,0.061,0.09,0.089,0.068,0.014,0.052,0.073,0.024,0.078,0.059,0.051
DVU0922,0.038,0.068,0.038,0.029,0.079,0.085,0.075,0.048,0.042,0.084,0.055,0.032,0.013,0.051,0.045,0.025,0.078,0.059,0.058
DVU0923,0.058,0.056,0.048,0.064,0.068,0.032,0.046,0.046,0.072,0.038,0.046,0.038,0.028,0.066,0.054,0.036,0.08,0.063,0.06
DVU0924,0.03,0.06,0.036,0.029,0.067,0.061,0.089,0.052,0.048,0.094,0.061,0.038,0.009,0.055,0.056,0.023,0.079,0.056,0.058
DVU0925,0.027,0.052,0.042,0.033,0.057,0.072,0.073,0.059,0.05,0.081,0.051,0.043,0.021,0.056,0.058,0.026,0.08,0.06,0.058
DVU0926,0.042,0.072,0.042,0.038,0.089,0.11,0.072,0.046,0.046,0.089,0.034,0.013,0.017,0.046,0.034,0.017,0.079,0.058,0.057
DVU0927,0.058,0.029,0.071,0.037,0.05,0.034,0.095,0.034,0.066,0.082,0.061,0.048,0.019,0.069,0.032,0.029,0.074,0.063,0.048
DVU0928,0.049,0.052,0.049,0.018,0.07,0.052,0.091,0.03,0.027,0.097,0.079,0.055,0.018,0.043,0.043,0.027,0.082,0.06,0.059
DVU0929,0.029,0.048,0.049,0.037,0.056,0.057,0.098,0.034,0.063,0.086,0.072,0.041,0.014,0.055,0.043,0.024,0.078,0.058,0.059
DVU0930,0.03,0.048,0.032,0.024,0.045,0.058,0.098,0.046,0.046,0.089,0.078,0.058,0.012,0.052,0.063,0.026,0.08,0.059,0.057
DVU0931,0.022,0.049,0.033,0.035,0.055,0.092,0.077,0.042,0.046,0.08,0.076,0.043,0.015,0.045,0.06,0.036,0.078,0.06,0.055
DVU0932,0.025,0.044,0.036,0.034,0.048,0.055,0.083,0.048,0.053,0.086,0.077,0.051,0.012,0.049,0.072,0.031,0.08,0.058,0.058
DVU0933,0.019,0.042,0.045,0.038,0.051,0.058,0.082,0.038,0.064,0.079,0.084,0.052,0.01,0.05,0.068,0.027,0.078,0.058,0.056
DVU0934,0.047,0.031,0.062,0.04,0.037,0.053,0.078,0.028,0.081,0.075,0.069,0.05,0.016,0.037,0.065,0.04,0.076,0.055,0.059
DVU0935,0.035,0.045,0.05,0.032,0.062,0.053,0.087,0.038,0.056,0.08,0.078,0.049,0.009,0.06,0.049,0.026,0.076,0.06,0.055
DVU0936,0.043,0.05,0.048,0.028,0.052,0.063,0.087,0.041,0.063,0.091,0.063,0.037,0.011,0.039,0.058,0.037,0.076,0.058,0.056
DVU0937,0.031,0.044,0.05,0.036,0.056,0.033,0.071,0.05,0.059,0.08,0.071,0.052,0.013,0.054,0.071,0.036,0.079,0.061,0.053
DVU0938,0.048,0.048,0.046,0.035,0.041,0.048,0.081,0.037,0.063,0.059,0.055,0.065,0.022,0.052,0.063,0.039,0.081,0.058,0.059
DVU0939,0.031,0.048,0.034,0.03,0.045,0.054,0.087,0.061,0.054,0.077,0.055,0.051,0.012,0.068,0.062,0.042,0.076,0.054,0.059
DVU0940,0.014,0.043,0.039,0.032,0.045,0.048,0.083,0.051,0.055,0.074,0.09,0.058,0.012,0.062,0.066,0.037,0.076,0.059,0.055
DVU0941,0.023,0.047,0.037,0.031,0.047,0.059,0.093,0.053,0.054,0.088,0.067,0.045,0.014,0.057,0.058,0.035,0.078,0.057,0.057
DVU0942,0.033,0.048,0.053,0.041,0.053,0.046,0.085,0.046,0.065,0.077,0.053,0.048,0.024,0.059,0.052,0.017,0.082,0.06,0.057
DVU0943,0.039,0.034,0.04,0.042,0.064,0.066,0.074,0.047,0.045,0.08,0.061,0.05,0.008,0.072,0.059,0.029,0.076,0.061,0.052
DVU0944,0.016,0.047,0.04,0.031,0.05,0.047,0.081,0.037,0.04,0.075,0.109,0.062,0.025,0.047,0.059,0.034,0.083,0.062,0.055
DVU0945,0.027,0.043,0.041,0.035,0.051,0.059,0.087,0.047,0.055,0.089,0.076,0.042,0.012,0.054,0.058,0.03,0.077,0.057,0.058
DVU0946,0.027,0.042,0.044,0.032,0.051,0.064,0.087,0.044,0.057,0.083,0.069,0.051,0.01,0.057,0.06,0.029,0.077,0.057,0.057
DVU0947,0.018,0.043,0.021,0.032,0.059,0.083,0.092,0.062,0.024,0.095,0.062,0.045,0.013,0.074,0.051,0.034,0.079,0.061,0.053
DVU0948,0.032,0.063,0.03,0.028,0.063,0.091,0.099,0.059,0.046,0.1,0.059,0.019,0.011,0.057,0.038,0.017,0.077,0.063,0.049
DVU0949,0.044,0.061,0.05,0.023,0.063,0.08,0.082,0.039,0.053,0.079,0.064,0.041,0.017,0.045,0.043,0.027,0.077,0.058,0.056
DVU0950,0.095,0.014,0.041,0.054,0.027,0.034,0.02,0.034,0.027,0.041,0.088,0.088,0.054,0.027,0.095,0.047,0.086,0.061,0.068
DVU0951,0.019,0.038,0.028,0.028,0.035,0.072,0.1,0.048,0.048,0.088,0.084,0.058,0.01,0.057,0.067,0.028,0.077,0.057,0.057
DVU0952,0.017,0.044,0.038,0.035,0.047,0.068,0.083,0.041,0.056,0.09,0.086,0.051,0.014,0.037,0.076,0.018,0.08,0.059,0.06
DVU0953,0.039,0.047,0.041,0.038,0.056,0.065,0.083,0.051,0.056,0.083,0.068,0.036,0.014,0.06,0.051,0.022,0.076,0.059,0.056
DVU0954,0.033,0.076,0.039,0.029,0.057,0.071,0.088,0.046,0.062,0.07,0.056,0.038,0.025,0.045,0.044,0.02,0.082,0.061,0.059
DVU0955,0.021,0.04,0.028,0.038,0.049,0.081,0.09,0.041,0.035,0.092,0.079,0.052,0.02,0.049,0.062,0.023,0.083,0.059,0.059
DVU0956,0.032,0.048,0.032,0.04,0.048,0.079,0.095,0.053,0.056,0.093,0.056,0.032,0.016,0.056,0.053,0.021,0.079,0.059,0.056
DVU0957,0.052,0.046,0.046,0.043,0.071,0.068,0.089,0.049,0.052,0.098,0.018,0.031,0.009,0.064,0.049,0.021,0.079,0.058,0.056
DVU0958,0.044,0.036,0.044,0.034,0.044,0.074,0.087,0.052,0.058,0.086,0.047,0.047,0.011,0.061,0.06,0.029,0.075,0.061,0.052
DVU0959,0.04,0.054,0.039,0.033,0.05,0.069,0.095,0.051,0.061,0.077,0.052,0.038,0.014,0.066,0.043,0.028,0.076,0.06,0.054
DVU0960,0.039,0.052,0.061,0.022,0.078,0.095,0.082,0.03,0.048,0.104,0.065,0.03,0.013,0.035,0.039,0.022,0.076,0.056,0.055
DVU0961,0.034,0.058,0.041,0.025,0.06,0.075,0.091,0.05,0.055,0.085,0.075,0.034,0.008,0.058,0.042,0.024,0.073,0.057,0.054
DVU0962,0.027,0.074,0.054,0.088,0.102,0.054,0.034,0.02,0.081,0.041,0.027,0.02,0.034,0.041,0.054,0.034,0.092,0.06,0.062
DVU0963,0.034,0.065,0.039,0.029,0.065,0.106,0.083,0.041,0.057,0.07,0.044,0.034,0.011,0.054,0.039,0.038,0.074,0.057,0.056
DVU0964,0.022,0.048,0.037,0.03,0.05,0.064,0.102,0.045,0.053,0.094,0.076,0.044,0.011,0.055,0.052,0.023,0.078,0.059,0.056
DVU0965,0.069,0.028,0.06,0.055,0.065,0.074,0.079,0.032,0.065,0.083,0.037,0.032,0.014,0.065,0.042,0.014,0.074,0.063,0.05
DVU0966,0.048,0.056,0.048,0.035,0.067,0.065,0.079,0.046,0.062,0.076,0.047,0.039,0.009,0.061,0.05,0.029,0.075,0.061,0.051
DVU0967,0.019,0.039,0.036,0.033,0.056,0.06,0.079,0.055,0.037,0.083,0.077,0.059,0.016,0.068,0.064,0.026,0.079,0.06,0.056
DVU0968,0.032,0.049,0.044,0.035,0.058,0.061,0.089,0.048,0.058,0.078,0.059,0.045,0.011,0.068,0.049,0.026,0.076,0.056,0.058
DVU0969,0.014,0.034,0.024,0.021,0.034,0.071,0.087,0.062,0.036,0.098,0.089,0.059,0.01,0.051,0.081,0.042,0.077,0.057,0.054
DVU0970,0.018,0.035,0.035,0.026,0.029,0.068,0.098,0.045,0.06,0.099,0.092,0.059,0.006,0.038,0.086,0.02,0.078,0.056,0.056
DVU0971,0.018,0.033,0.033,0.039,0.051,0.086,0.09,0.045,0.041,0.105,0.066,0.043,0.013,0.048,0.067,0.026,0.08,0.058,0.056
DVU0972,0.017,0.05,0.039,0.031,0.049,0.056,0.091,0.05,0.061,0.095,0.077,0.041,0.009,0.047,0.066,0.029,0.078,0.058,0.057
DVU0973,0.012,0.039,0.022,0.036,0.054,0.053,0.077,0.063,0.03,0.078,0.075,0.062,0.014,0.077,0.071,0.042,0.08,0.062,0.056
DVU0974,0.019,0.041,0.043,0.019,0.038,0.067,0.103,0.038,0.05,0.098,0.086,0.06,0.014,0.041,0.062,0.029,0.079,0.059,0.054
DVU0975,0.024,0.037,0.05,0.033,0.046,0.073,0.094,0.036,0.06,0.098,0.068,0.045,0.014,0.04,0.059,0.027,0.078,0.058,0.057
DVU0976,0.02,0.054,0.042,0.028,0.072,0.08,0.089,0.042,0.045,0.105,0.072,0.035,0.007,0.045,0.054,0.018,0.079,0.057,0.057
DVU0977,0.026,0.016,0.032,0.084,0.021,0.042,0.042,0.048,0.074,0.042,0.053,0.058,0.037,0.053,0.1,0.058,0.085,0.06,0.068
DVU0978,0.035,0.042,0.045,0.032,0.047,0.06,0.079,0.039,0.054,0.085,0.103,0.045,0.017,0.038,0.061,0.028,0.077,0.059,0.055
DVU0979,0.036,0.057,0.032,0.041,0.057,0.059,0.088,0.036,0.059,0.079,0.076,0.045,0.014,0.045,0.063,0.012,0.083,0.06,0.059
DVU0980,0.028,0.046,0.035,0.038,0.059,0.068,0.077,0.049,0.049,0.091,0.099,0.033,0.01,0.047,0.063,0.018,0.077,0.056,0.057
DVU0981,0.018,0.037,0.034,0.031,0.045,0.078,0.099,0.042,0.049,0.106,0.09,0.044,0.008,0.042,0.067,0.02,0.078,0.059,0.054
DVU0982,0.026,0.067,0.029,0.029,0.071,0.1,0.097,0.034,0.046,0.096,0.055,0.038,0.007,0.039,0.055,0.013,0.082,0.06,0.056
DVU0983,0.027,0.056,0.036,0.028,0.043,0.071,0.105,0.049,0.065,0.092,0.059,0.042,0.01,0.049,0.059,0.016,0.078,0.056,0.058
DVU0984,0.031,0.061,0.046,0.022,0.059,0.07,0.094,0.05,0.055,0.09,0.067,0.036,0.013,0.053,0.041,0.023,0.076,0.057,0.057
DVU0985,0.013,0.019,0.025,0.016,0.025,0.047,0.101,0.054,0.025,0.101,0.11,0.085,0.009,0.06,0.085,0.035,0.079,0.055,0.057
DVU0986,0.033,0.033,0.02,0.059,0.033,0.099,0.066,0.059,0.039,0.099,0.033,0.033,0.039,0.026,0.085,0.026,0.089,0.07,0.059
DVU0987,0.043,0.043,0.063,0.051,0.071,0.075,0.075,0.016,0.063,0.075,0.067,0.043,0.02,0.043,0.047,0.004,0.083,0.054,0.065
DVU0988,0.031,0.065,0.035,0.036,0.066,0.072,0.089,0.051,0.054,0.079,0.069,0.028,0.014,0.062,0.038,0.019,0.078,0.058,0.057
DVU0989,0.027,0.058,0.026,0.037,0.057,0.093,0.095,0.046,0.049,0.09,0.058,0.035,0.015,0.049,0.053,0.016,0.081,0.059,0.057
DVU0990,0.03,0.047,0.04,0.023,0.049,0.07,0.102,0.028,0.053,0.099,0.091,0.055,0.008,0.033,0.065,0.016,0.079,0.055,0.059
DVU0991,0.021,0.053,0.027,0.032,0.045,0.063,0.093,0.052,0.048,0.092,0.083,0.041,0.02,0.045,0.061,0.025,0.082,0.059,0.059
DVU0992,0.031,0.052,0.043,0.046,0.068,0.053,0.086,0.038,0.057,0.071,0.066,0.044,0.015,0.069,0.043,0.02,0.081,0.06,0.057
DVU0993,0.012,0.046,0.032,0.033,0.053,0.054,0.083,0.049,0.038,0.076,0.09,0.064,0.021,0.062,0.063,0.022,0.082,0.06,0.059
DVU0994,0.009,0.027,0.032,0.014,0.046,0.156,0.11,0.032,0.027,0.124,0.078,0.046,0.005,0.037,0.05,0.027,0.072,0.06,0.048
DVU0995,0.033,0.044,0.041,0.042,0.051,0.068,0.085,0.037,0.06,0.079,0.067,0.046,0.016,0.049,0.06,0.023,0.08,0.06,0.058
DVU0996,0.03,0.063,0.03,0.031,0.062,0.091,0.079,0.06,0.046,0.084,0.066,0.026,0.016,0.054,0.047,0.022,0.076,0.057,0.058
DVU0997,0.034,0.042,0.04,0.038,0.049,0.061,0.087,0.042,0.056,0.078,0.071,0.045,0.015,0.058,0.052,0.042,0.077,0.054,0.061
DVU0998,0.021,0.037,0.034,0.036,0.042,0.074,0.091,0.051,0.05,0.095,0.066,0.046,0.016,0.052,0.066,0.027,0.08,0.059,0.058
DVU0999,0.019,0.04,0.027,0.027,0.044,0.075,0.089,0.056,0.038,0.092,0.083,0.053,0.011,0.057,0.068,0.034,0.077,0.06,0.053
DVU1000,0.033,0.048,0.036,0.034,0.054,0.083,0.084,0.047,0.05,0.083,0.073,0.04,0.015,0.054,0.053,0.024,0.077,0.058,0.057
DVU1001,0.018,0.036,0.04,0.034,0.048,0.086,0.08,0.044,0.05,0.084,0.068,0.054,0.014,0.052,0.068,0.032,0.078,0.06,0.055
DVU1002,0.03,0.046,0.042,0.032,0.053,0.071,0.092,0.035,0.055,0.099,0.064,0.042,0.011,0.035,0.064,0.034,0.079,0.059,0.058
DVU1003,0.03,0.047,0.043,0.025,0.052,0.074,0.103,0.032,0.054,0.099,0.094,0.039,0.009,0.041,0.046,0.021,0.075,0.057,0.058
