C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
DVU1078,0.5216,0.1211,0.3288,0.277,0.177,0.526,41.81,0.703,0.667,428,430,-0.787674,0.023256,NA
DVU1079,0.449,0.1223,0.4225,0.231,0.152,0.497,45.7,0.733,0.651,445,457,0.11291,0.037199,NA
DVU1080,0.4136,0.1286,0.3459,0.278,0.197,0.52,45.81,0.653,0.65,173,180,0.089445,0.033333,NA
DVU1081,0.4189,0.1335,0.3995,0.213,0.107,0.465,49.54,0.724,0.66,503,539,0.467347,0.074212,NA
DVU1082,0.5655,0.0943,0.3624,0.264,0.171,0.497,39.1,0.764,0.616,195,202,-0.128218,0.059406,NA
DVU1083,0.4624,0.139,0.4157,0.254,0.174,0.5,39.85,0.721,0.622,222,229,-0.186463,0.065502,NA
DVU1084,0.5528,0.0969,0.5251,0.269,0.23,0.549,40.56,0.829,0.604,246,255,-0.201961,0.082353,NA
DVU1085,0.547,0.1092,0.3836,0.225,0.068,0.451,46.63,0.751,0.609,213,221,-0.229864,0.031674,NA
DVU1086,0.434,0.1842,0.3476,0.245,0.113,0.496,48.94,0.649,0.645,242,249,-0.521285,0.076305,NA
DVU1087,0.4418,0.1004,0.4106,0.2,0.116,0.459,44.71,0.732,0.642,314,326,0.198466,0.058282,NA
DVU1088,0.4,0.1489,0.4186,0.236,0.028,0.439,42.41,0.667,0.632,57,58,-0.232759,0.034483,NA
DVU1089,0.7105,0.0885,0.351,0.337,0.302,0.596,32.32,0.855,0.643,849,879,-0.261206,0.069397,NA
DVU1090,0.6888,0.104,0.3296,0.323,0.32,0.604,33.8,0.827,0.632,346,357,-0.159384,0.047619,NA
DVU1091,0.5533,0.0997,0.4245,0.245,0.166,0.503,39.31,0.807,0.662,352,368,-0.227446,0.076087,NA
DVU1092,0.5882,0.0447,0.3681,0.31,0.268,0.56,36.53,0.824,0.62,425,453,0.917439,0.108168,NA
DVU1093,0.5685,0.192,0.2689,0.255,0.205,0.531,44.58,0.719,0.631,160,176,-0.301136,0.096591,NA
DVU1094,0.6446,0.113,0.3571,0.297,0.292,0.584,34.79,0.831,0.656,437,460,-0.184348,0.073913,NA
DVU1095,0.7594,0.0943,0.3127,0.352,0.369,0.634,28.79,0.873,0.654,377,396,-0.282071,0.083333,NA
DVU1096,0.6407,0.1312,0.3981,0.281,0.196,0.538,37.19,0.824,0.628,279,300,-0.291333,0.093333,NA
DVU1097,0.493,0.1287,0.399,0.207,0.14,0.487,44.98,0.765,0.671,238,249,0.174699,0.052209,NA
DVU1098,0.5594,0.1421,0.3956,0.28,0.244,0.558,38.25,0.794,0.636,233,247,-0.360324,0.080972,NA
DVU1099,0.5194,0.122,0.4174,0.25,0.105,0.479,44.21,0.788,0.673,146,148,0.145946,0.033784,NA
DVU1100,0.4988,0.1201,0.4315,0.269,0.164,0.517,40.64,0.785,0.658,480,505,-0.07604,0.071287,NA
DVU1101,0.5294,0.0854,0.4545,0.282,0.296,0.585,39.74,0.824,0.685,205,218,-0.200917,0.091743,NA
DVU1102,0.6056,0.1015,0.3987,0.224,0.108,0.468,34.72,0.857,0.701,370,384,-0.01276,0.057292,NA
DVU1103,0.661,0.0982,0.4272,0.289,0.242,0.551,32.84,0.884,0.657,138,144,0.075,0.097222,NA
DVU1104,0.6238,0.0833,0.3989,0.36,0.397,0.647,32.32,0.86,0.678,235,243,-0.290124,0.053498,NA
DVU1105,0.5238,0.0885,0.4605,0.255,0.243,0.548,35.48,0.849,0.706,259,266,-0.075188,0.052632,NA
DVU1106,0.6129,0.0946,0.4247,0.247,0.181,0.508,34.4,0.877,0.687,179,183,-0.309836,0.038251,NA
DVU1107,0.5412,0.0998,0.4253,0.27,0.171,0.515,37.86,0.836,0.671,738,780,0.55859,0.064103,NA
DVU1108,0.6842,0.0732,0.2857,0.322,0.258,0.581,38.71,0.829,0.655,105,110,-0.603636,0.072727,NA
DVU1109,0.2238,0.4364,0.1796,0.174,-0.094,0.368,50.92,0.307,0.388,329,340,-0.179412,0.097059,NA
DVU1110,0.627,0.1161,0.4369,0.285,0.361,0.632,35.3,0.861,0.64,144,148,-0.595946,0.087838,NA
DVU1111,0.6116,0.0693,0.415,0.298,0.231,0.548,33.71,0.876,0.688,547,561,0.077718,0.073084,NA
DVU1112,0.4896,0.1442,0.4712,0.298,0.221,0.559,37.14,0.814,0.709,118,126,-0.60873,0.031746,NA
DVU1113,0.535,0.1074,0.4406,0.248,0.207,0.523,36.74,0.845,0.693,174,178,-0.066292,0.073034,NA
DVU1114,0.475,0.175,0.4483,0.194,0.051,0.451,43.69,0.768,0.655,142,146,-0.491096,0.047945,NA
DVU1115,0.5966,0.1121,0.4537,0.266,0.28,0.565,37.55,0.87,0.662,138,143,-0.137063,0.06993,NA
DVU1116,0.6454,0.097,0.3825,0.276,0.202,0.528,34.13,0.874,0.663,318,331,0.073112,0.066465,NA
DVU1117,0.6931,0.0659,0.2955,0.324,0.301,0.595,34.62,0.865,0.693,111,115,0.077391,0.052174,NA
DVU1118,0.6423,0.1287,0.3636,0.269,0.145,0.505,35.73,0.827,0.691,307,316,-0.434177,0.053797,NA
DVU1119,0.5309,0.1101,0.4848,0.238,0.164,0.506,37.1,0.837,0.669,417,433,-0.330023,0.08545,NA
DVU1120,0.5421,0.1274,0.4183,0.262,0.204,0.53,40.83,0.8,0.668,509,530,-0.304717,0.073585,NA
DVU1121,0.4277,0.2216,0.3529,0.25,0.023,0.442,54.18,0.613,0.547,199,206,0.068447,0.067961,NA
DVU1122,0.5163,0.104,0.486,0.271,0.212,0.533,38.5,0.817,0.665,465,494,-0.345749,0.078947,NA
DVU1123,0.5302,0.1098,0.5,0.288,0.228,0.541,35.85,0.859,0.697,185,189,-0.286773,0.037037,NA
DVU1124,0.65,0.0909,0.4375,0.331,0.408,0.641,29.63,0.859,0.662,78,80,-0.58875,0.0375,NA
DVU1125,0.625,0.129,0.4615,0.288,0.223,0.534,32.54,0.872,0.637,148,157,-0.154777,0.031847,NA
DVU1126,0.4719,0.122,0.4024,0.229,0.127,0.458,43.96,0.781,0.696,96,101,0.206931,0.029703,NA
DVU1127,0.5175,0.1593,0.3243,0.284,0.189,0.519,42.17,0.725,0.659,131,137,0.016788,0.036496,NA
DVU1128,0.5249,0.1235,0.4061,0.217,0.121,0.48,45.35,0.802,0.682,202,221,-0.143439,0.090498,NA
DVU1129,0.5385,0.0879,0.4545,0.27,0.301,0.57,36.36,0.842,0.656,114,122,0.451639,0.139344,NA
DVU1130,0.5116,0.113,0.4595,0.207,0.213,0.521,37.68,0.801,0.649,146,154,-0.370779,0.090909,NA
DVU1131,0.4314,0.1383,0.4659,0.24,0.167,0.517,52.06,0.733,0.636,116,121,-0.287603,0.041322,NA
DVU1132,0.5597,0.1515,0.3721,0.219,0.057,0.447,36.37,0.764,0.647,161,169,-0.706509,0.065089,NA
DVU1133,0.48,0.178,0.3913,0.248,0.091,0.476,48.55,0.724,0.649,145,152,-0.448026,0.078947,NA
DVU1134,0.4125,0.1084,0.525,0.22,0.15,0.489,38.5,0.798,0.677,94,95,-0.324211,0.021053,NA
DVU1135,0.4677,0.1385,0.541,0.216,0.112,0.468,44.98,0.805,0.624,77,79,-0.581013,0.050633,NA
DVU1136,0.664,0.0935,0.44,0.334,0.269,0.58,32.11,0.852,0.625,162,170,-0.472353,0.047059,NA
DVU1137,0.6042,0.1667,0.3725,0.31,0.291,0.583,29.56,0.8,0.683,60,62,-0.070968,0.016129,NA
DVU1138,0.5361,0.1136,0.4303,0.271,0.226,0.542,34.09,0.796,0.659,201,210,-0.575714,0.061905,NA
DVU1139,0.5522,0.1005,0.5,0.274,0.246,0.557,34.48,0.861,0.686,237,245,-0.358776,0.040816,NA
DVU1140,0.6112,0.1014,0.4407,0.272,0.2,0.535,35.48,0.852,0.669,684,717,-0.464435,0.086471,NA
DVU1141,0.5,0.1238,0.3465,0.257,0.188,0.519,54.54,0.696,0.592,135,143,-0.151748,0.090909,NA
DVU1142,0.3881,0.1351,0.5143,0.22,0.163,0.512,47.02,0.738,0.618,84,89,-0.362921,0.033708,NA
DVU1143,0.4825,0.1622,0.4206,0.234,0.159,0.504,48.03,0.741,0.624,135,141,-0.378014,0.028369,NA
DVU1144,0.3659,0.269,0.2432,0.242,0.074,0.456,58.95,0.502,0.544,239,255,-0.210588,0.066667,NA
DVU1145,0.3143,0.2195,0.4737,0.154,0.009,0.4,61,0.644,0.551,45,46,-0.421739,0.043478,NA
DVU1147,0.2319,0.3006,0.2596,0.193,-0.117,0.339,54.9,0.385,0.426,434,459,0.61939,0.174292,NA
DVU1148,0.2226,0.3185,0.2775,0.203,-0.096,0.365,56.99,0.38,0.436,337,348,-0.19023,0.12931,NA
DVU1150,0.359,0.2056,0.3396,0.238,0.132,0.478,56.28,0.582,0.589,134,137,-0.032117,0.043796,NA
DVU1151,0.2727,0.2333,0.2069,0.276,-0.009,0.426,61,0.383,0.433,47,50,0.108,0.18,NA
DVU1152,0.4333,0.1184,0.4236,0.211,0.105,0.469,50.08,0.709,0.6,196,204,0.021078,0.078431,NA
DVU1153,0.5333,0.25,0.3462,0.255,0.164,0.514,40.68,0.714,0.62,35,36,-0.277778,0.055556,NA
DVU1154,0.5143,0.1714,0.4118,0.26,0.007,0.442,41.96,0.744,0.622,43,45,-1.128889,0.066667,NA
DVU1155,0.3448,0.4444,0.2,0.172,-0.081,0.387,30.25,0.419,0.422,31,34,-0.05,0.058824,NA
DVU1156,0.4495,0.2872,0.3412,0.174,0.026,0.422,52.46,0.627,0.537,469,479,-0.200626,0.056367,NA
DVU1157,0.5862,0.1552,0.369,0.231,0.188,0.518,42,0.782,0.599,1043,1085,0.22212,0.097696,NA
DVU1158,0.4624,0.2105,0.2533,0.314,0.209,0.55,38.2,0.62,0.647,100,104,0.178846,0.076923,NA
DVU1159,0.2955,0.3143,0.3125,0.091,-0.267,0.217,61,0.5,0.507,46,48,-0.302083,0.041667,NA
DVU1160,0.54,0.1608,0.3277,0.27,0.23,0.538,41.11,0.747,0.591,320,337,0.926706,0.121662,NA
DVU1161,0.4727,0.3846,0.2391,0.304,0.139,0.521,40.15,0.521,0.474,71,76,-0.452632,0.105263,NA
DVU1162,0.3269,0.3404,0.2979,0.175,-0.051,0.377,61,0.508,0.545,61,63,-0.919048,0.031746,NA
DVU1163,0.5877,0.1235,0.3681,0.257,0.241,0.553,43.01,0.805,0.604,394,424,0.65566,0.129717,NA
DVU1164,0.7481,0.087,0.3239,0.359,0.343,0.624,30.71,0.852,0.612,311,334,-0.371856,0.122754,NA
DVU1165,0.3995,0.0971,0.5223,0.228,0.15,0.488,44.2,0.77,0.652,422,439,0.075854,0.079727,NA
DVU1166,0.2368,0.4474,0.2941,0.226,0.14,0.5,NA,0.38,0.373,50,50,-0.67,0.06,NA
DVU1167,0.1622,0.3417,0.3143,0.139,-0.163,0.299,47.51,0.348,0.369,164,178,0.414607,0.140449,NA
DVU1168,0.4576,0.2018,0.2816,0.231,0.07,0.445,61,0.648,0.597,128,138,0.50942,0.115942,NA
DVU1169,0.6078,0.1431,0.3488,0.313,0.281,0.587,41.64,0.779,0.62,773,804,-0.145647,0.063433,NA
DVU1170,0.5625,0.1739,0.2927,0.198,0.05,0.439,45.69,0.684,0.581,57,62,-0.183871,0.064516,NA
DVU1171,0.3333,0.2381,0.381,0.216,0.081,0.429,NA,0.571,0.538,28,31,0.096774,0.064516,NA
DVU1172,0.1892,0.5312,0.069,0.219,-0.026,0.395,56.81,0.209,0.356,43,45,0.357778,0.111111,NA
DVU1173,0.3863,0.0943,0.4458,0.222,0.131,0.47,50.09,0.731,0.651,494,518,0.83668,0.100386,NA
DVU1174,0.6809,0.1868,0.3571,0.385,0.391,0.647,35.44,0.79,0.605,119,125,-0.7048,0.104,NA
DVU1175,0.544,0.1982,0.2621,0.27,0.243,0.558,47.57,0.688,0.641,138,145,-0.193104,0.068966,NA
DVU1176,0.5035,0.162,0.3939,0.246,0.047,0.446,46.94,0.709,0.602,175,185,-0.256216,0.07027,NA
DVU1177,0.4583,0.2701,0.327,0.2,0.065,0.444,49.75,0.654,0.583,214,220,-0.077727,0.040909,NA
DVU1178,0.2667,0.5833,0.1667,0.141,-0.288,0.265,41.21,0.353,0.436,34,39,-0.441026,0.205128,NA
DVU1179,0.5792,0.0893,0.3854,0.293,0.221,0.552,40.62,0.784,0.631,556,576,-0.075174,0.065972,NA
DVU1180,0.5556,0.0678,0.3962,0.279,0.224,0.549,45.78,0.789,0.631,71,74,0.339189,0.054054,NA
DVU1181,0.5663,0.1685,0.2703,0.253,0.173,0.507,43.33,0.71,0.618,345,356,0.102247,0.05618,NA
DVU1182,0.5093,0.1422,0.3611,0.211,0.107,0.463,47.58,0.731,0.615,294,304,0.069408,0.036184,NA
DVU1183,0.5663,0.1723,0.2928,0.207,0.126,0.476,46.23,0.737,0.639,399,415,0.058554,0.045783,NA
DVU1185,0.5034,0.0873,0.3826,0.219,0.083,0.429,42.77,0.76,0.61,154,159,1.040251,0.100629,NA
DVU1186,0.5673,0.1414,0.3927,0.297,0.153,0.506,41.31,0.757,0.618,255,267,-0.471161,0.078652,NA
DVU1187,0.392,0.1209,0.4476,0.194,0.057,0.427,51.23,0.719,0.662,267,274,0.229562,0.047445,NA
DVU1188,0.4677,0.0926,0.3269,0.294,0.193,0.522,38.18,0.687,0.653,67,73,-0.167123,0.068493,NA
DVU1189,0.4902,0.0972,0.4155,0.233,0.201,0.504,42.92,0.782,0.626,381,399,0.828822,0.105263,NA
DVU1190,0.4779,0.0993,0.4473,0.257,0.201,0.525,43.11,0.762,0.639,903,926,-0.07527,0.070194,NA
DVU1191,0.6043,0.146,0.3652,0.266,0.194,0.522,37.38,0.786,0.63,827,856,-0.345911,0.035047,NA
DVU1192,0.4886,0.2078,0.3067,0.199,0.124,0.479,50.87,0.688,0.647,96,100,-0.591,0.07,NA
DVU1193,0.4202,0.1477,0.4647,0.247,0.211,0.516,40.57,0.728,0.619,217,225,-0.285778,0.053333,NA
DVU1194,0.5556,0.1695,0.2923,0.213,0.126,0.477,44.89,0.715,0.633,354,368,-0.129348,0.078804,NA
DVU1195,0.5248,0.1128,0.4435,0.238,0.171,0.516,40.3,0.801,0.618,161,172,-0.164535,0.081395,NA
DVU1196,0.6732,0.1005,0.3663,0.318,0.273,0.575,34,0.835,0.629,788,829,-0.319903,0.102533,NA
DVU1197,0.6341,0.127,0.3684,0.217,0.138,0.493,38.2,0.811,0.638,148,153,-0.136601,0.084967,NA
DVU1198,0.7597,0.0806,0.3036,0.385,0.301,0.595,29.95,0.863,0.647,153,156,0.133333,0.057692,NA
DVU1199,0.7241,0.0818,0.3589,0.31,0.255,0.566,30.21,0.852,0.628,392,409,-0.176039,0.04401,NA
DVU1200,0.5645,0.1207,0.3765,0.324,0.299,0.59,41.55,0.783,0.632,212,220,-0.050454,0.068182,NA
DVU1201,0.6006,0.1472,0.2912,0.275,0.241,0.548,41.11,0.771,0.676,363,377,-0.029708,0.04244,NA
DVU1202,0.6284,0.1278,0.3197,0.289,0.26,0.574,38.18,0.781,0.631,169,176,0.021023,0.0625,NA
DVU1203,0.7214,0.0652,0.3311,0.317,0.236,0.56,31.6,0.863,0.647,400,412,-0.076456,0.07767,NA
DVU1204,0.6408,0.1234,0.3276,0.294,0.228,0.558,35.95,0.806,0.625,396,415,0.006024,0.06506,NA
DVU1205,0.78,0.2069,0.2692,0.451,0.37,0.639,30,0.736,0.531,72,76,-0.264474,0.039474,NA
DVU1206,0.6442,0.1045,0.3155,0.318,0.229,0.554,38.08,0.804,0.644,240,247,0.18421,0.052632,NA
DVU1207,0.6136,0.1085,0.321,0.315,0.282,0.581,35.91,0.809,0.659,320,330,0.218182,0.057576,NA
DVU1208,0.6678,0.1155,0.2863,0.267,0.185,0.518,36.64,0.786,0.621,336,345,0.104348,0.052174,NA
DVU1209,0.7174,0.0222,0.3333,0.364,0.316,0.614,26.41,0.842,0.672,57,59,-0.991525,0.033898,NA
DVU1210,0.4583,0.1079,0.4478,0.297,0.252,0.552,48.16,0.724,0.627,174,178,-0.108427,0.067416,NA
DVU1211,0.566,0.0351,0.3571,0.388,0.319,0.603,32.96,0.735,0.599,68,69,-0.623188,0.014493,NA
DVU1212,0.4176,0.1282,0.3401,0.191,0.126,0.462,50.85,0.665,0.624,182,186,0.596237,0.064516,NA
DVU1213,0.388,0.0978,0.3858,0.184,0.132,0.462,50.08,0.689,0.65,318,337,0.414243,0.086053,NA
DVU1214,0.5364,0.1254,0.3386,0.259,0.184,0.507,41.9,0.764,0.662,696,730,0.355342,0.086301,NA
DVU1215,0.5178,0.1667,0.3113,0.215,0.186,0.505,45.6,0.716,0.593,208,218,0.618349,0.114679,NA
DVU1216,0.3871,0.3091,0.3585,0.211,0.054,0.449,56.88,0.623,0.617,69,74,-0.237838,0.054054,NA
DVU1217,0.4747,0.0748,0.4676,0.246,0.183,0.506,39.31,0.811,0.638,439,469,0.738806,0.119403,NA
DVU1218,0.6494,0.1579,0.2394,0.274,0.239,0.556,44.56,0.744,0.616,90,99,-0.10101,0.060606,NA
DVU1219,0.4843,0.1784,0.3396,0.2,0.123,0.473,44.61,0.724,0.669,700,731,0.029412,0.062927,NA
DVU1220,0.5225,0.1133,0.383,0.272,0.203,0.531,47.88,0.734,0.637,256,274,-0.157299,0.083942,NA
DVU1221,0.4,0.2812,0.3443,0.14,-0.067,0.38,60.37,0.62,0.617,79,81,-0.412346,0.061728,NA
DVU1222,0.4406,0.1348,0.3676,0.245,0.109,0.479,43.32,0.685,0.634,165,175,0.158286,0.034286,NA
DVU1223,0.5448,0.1418,0.3589,0.221,0.167,0.502,40.77,0.767,0.658,506,522,-0.199234,0.063218,NA
DVU1224,0.4395,0.0926,0.4488,0.235,0.053,0.449,48.85,0.728,0.647,276,282,-0.102837,0.053191,NA
DVU1225,0.5462,0.1913,0.3894,0.218,0.033,0.434,40.39,0.762,0.627,143,150,-0.334667,0.06,NA
DVU1226,0.24,0.2,0.5,0.223,0.077,0.448,48.96,0.621,0.613,29,31,0.477419,0.064516,NA
DVU1227,0.3,0.1724,0.4828,0.176,0.115,0.471,50.18,0.676,0.64,34,37,-0.189189,0.054054,NA
DVU1228,0.5578,0.1752,0.2992,0.251,0.163,0.512,40.26,0.714,0.601,168,172,0.123256,0.05814,NA
DVU1229,0.1429,0.5,0.2941,0.189,-0.261,0.288,38.62,0.308,0.358,52,53,-0.35283,0.113208,NA
DVU1230,0.3793,0.2,0.52,0.23,0.099,0.457,43.28,0.686,0.546,35,36,-0.283333,0.055556,NA
DVU1231,0.5291,0.0738,0.3486,0.255,0.137,0.492,41.98,0.764,0.633,368,402,0.769652,0.116915,NA
DVU1232,0.561,0.1739,0.4405,0.239,0.003,0.417,36.34,0.769,0.586,108,112,-0.080357,0.053571,NA
DVU1233,0.4195,0.1373,0.4263,0.222,0.125,0.474,47.37,0.715,0.642,880,906,-0.068433,0.059603,NA
DVU1234,0.4591,0.1179,0.3514,0.22,0.148,0.482,47.79,0.728,0.639,228,243,0.92428,0.090535,NA
DVU1235,0.3446,0.2098,0.3986,0.268,0.086,0.472,52.13,0.589,0.557,197,206,-0.111165,0.131068,NA
DVU1236,0.6545,0.1058,0.3706,0.299,0.254,0.558,37.95,0.807,0.598,233,247,-0.05749,0.052632,NA
DVU1237,0.6323,0.1122,0.3315,0.303,0.349,0.603,37.1,0.81,0.602,247,256,0.564062,0.113281,NA
DVU1238,0.7947,0.0681,0.3257,0.35,0.248,0.57,28.8,0.878,0.617,237,246,0.023984,0.085366,NA
DVU1239,0.4505,0.1375,0.3699,0.283,0.259,0.545,38.88,0.727,0.628,187,200,1.102,0.085,NA
DVU1240,0.4706,0.1944,0.3762,0.208,0.078,0.454,46.5,0.723,0.635,130,135,0.226667,0.051852,NA
DVU1241,0.5667,0.1098,0.3286,0.292,0.238,0.549,45.77,0.725,0.59,102,105,0.098095,0.038095,NA
DVU1242,0.5812,0.1508,0.2963,0.225,0.133,0.489,45.69,0.733,0.607,262,273,-0.026007,0.117216,NA
DVU1243,0.6272,0.1667,0.3481,0.302,0.24,0.558,41.77,0.782,0.602,206,210,-0.308571,0.085714,NA
DVU1244,0.5079,0.1789,0.2566,0.226,0.111,0.469,44.74,0.641,0.559,145,148,0.337162,0.054054,NA
DVU1245,0.5187,0.1636,0.3333,0.238,0.202,0.515,42.44,0.737,0.635,262,274,0.038686,0.051095,NA
DVU1246,0.5745,0.1353,0.3316,0.257,0.249,0.545,43.2,0.779,0.592,253,267,0.797378,0.093633,NA
DVU1247,0.5693,0.1381,0.4386,0.313,0.178,0.538,37.37,0.808,0.646,266,273,-0.589744,0.047619,NA
DVU1248,0.6304,0.0883,0.3485,0.3,0.24,0.556,37.49,0.806,0.642,531,551,-0.153902,0.08167,NA
DVU1249,0.59,0.1265,0.3223,0.246,0.098,0.477,40.16,0.779,0.659,298,317,0.041009,0.059937,NA
DVU1250,0.453,0.1479,0.3697,0.191,0.061,0.429,45.71,0.704,0.63,203,218,-0.005505,0.100917,NA
DVU1251,0.6458,0.2308,0.34,0.265,0.177,0.53,37.04,0.727,0.551,66,72,-0.629167,0.097222,NA
DVU1252,0.4727,0.0947,0.4239,0.211,0.107,0.462,43.69,0.765,0.639,710,758,0.366491,0.122691,NA
DVU1253,0.3077,0.2941,0.3939,0.206,-0.007,0.39,60.37,0.61,0.635,41,42,-0.454762,0.02381,NA
DVU1254,0.5263,0.2034,0.4091,0.195,0.101,0.47,45.47,0.772,0.639,149,156,-0.191026,0.064103,NA
DVU1255,0.4145,0.118,0.3815,0.157,0,0.39,49.42,0.712,0.667,205,210,0.378571,0.038095,NA
DVU1256,0.4742,0.1985,0.3254,0.197,0.13,0.479,49.29,0.678,0.635,338,362,-0.150829,0.063536,NA
DVU1257,0.5352,0.125,0.1875,0.47,0.501,0.711,34.41,0.602,0.596,83,90,-0.526667,0.1,NA
DVU1258,0.7173,0.1113,0.3457,0.331,0.298,0.594,31.33,0.847,0.618,694,726,-0.211846,0.088154,NA
DVU1259,0.1786,0.3077,0.375,0.131,-0.017,0.375,57.86,0.438,0.402,32,34,1.2,0.147059,NA
DVU1260,0.5452,0.09,0.344,0.284,0.188,0.536,43.78,0.731,0.589,405,427,-0.193911,0.12178,NA
DVU1261,0.477,0.1765,0.4009,0.196,0.142,0.479,46.44,0.735,0.622,570,586,-0.205631,0.047782,NA
DVU1262,0.5631,0.1463,0.3755,0.268,0.275,0.567,40.37,0.768,0.626,358,369,-0.131436,0.04336,NA
DVU1263,0.4661,0.1275,0.3511,0.231,0.203,0.508,46.29,0.698,0.612,252,267,0.779401,0.131086,NA
DVU1264,0.5676,0.165,0.3037,0.215,0.166,0.504,43.29,0.742,0.634,248,253,-0.254941,0.075099,NA
DVU1265,0.4258,0.129,0.3474,0.234,0.105,0.481,44.16,0.671,0.675,243,249,-0.409237,0.032129,NA
DVU1266,0.5385,0.1519,0.3317,0.252,0.194,0.536,44.71,0.741,0.617,1103,1145,-0.172053,0.09345,NA
DVU1267,0.5423,0.1556,0.259,0.35,0.244,0.571,41.81,0.694,0.618,219,227,-0.117621,0.052863,NA
DVU1268,0.5656,0.1193,0.26,0.345,0.298,0.603,35.44,0.725,0.62,131,137,0.023358,0.072993,NA
DVU1269,0.2368,0.1667,0.5,0.216,0.192,0.5,33.1,0.675,0.682,40,44,0.620455,0.068182,NA
DVU1270,0.5861,0.1231,0.3571,0.24,0.231,0.54,38.32,0.785,0.629,409,426,-0.192254,0.068075,NA
DVU4015,0.3402,0.2874,0.2024,0.342,0.142,0.514,49.04,0.467,0.567,107,110,0.117273,0.072727,NA
DVU1271,0.5463,0.1402,0.3831,0.283,0.206,0.528,41.93,0.767,0.602,386,408,0.350245,0.098039,NA
DVU1272,0.6297,0.1068,0.3815,0.315,0.316,0.594,35.49,0.831,0.638,556,573,-0.047819,0.041885,NA
DVU1273,0.6472,0.0935,0.4165,0.308,0.233,0.548,33.57,0.854,0.624,507,524,-0.21355,0.04771,NA
DVU1274,0.5276,0.121,0.3852,0.257,0.176,0.517,34.93,0.797,0.673,143,147,0.089116,0.061224,NA
DVU1275,0.4865,0.0823,0.4641,0.227,0.139,0.483,40.31,0.822,0.643,174,186,0.158602,0.048387,NA
DVU1276,0.5504,0.159,0.3259,0.256,0.172,0.513,42.55,0.727,0.628,612,639,-0.09953,0.062598,NA
DVU1277,0.1282,0.2222,0.3235,0.225,0.074,0.452,55.08,0.381,0.526,42,45,-0.093333,0.066667,NA
DVU1278,0.5521,0.1128,0.4016,0.306,0.249,0.559,40.71,0.768,0.62,633,656,-0.257622,0.059451,NA
DVU1279,0.4724,0.1086,0.378,0.223,0.074,0.45,47.98,0.716,0.629,278,286,0.166434,0.06993,NA
DVU1280,0.4907,0.1304,0.4043,0.206,0.14,0.471,40.23,0.752,0.612,242,248,0.492339,0.068548,NA
DVU1281,0.4008,0.15,0.4194,0.203,0.047,0.407,47.72,0.7,0.608,290,300,0.160666,0.033333,NA
DVU1282,0.5312,0.1246,0.3765,0.252,0.194,0.522,43.04,0.741,0.61,429,450,-0.061778,0.06,NA
DVU1283,0.5195,0.1073,0.4028,0.245,0.084,0.448,47.13,0.73,0.586,281,292,-0.011301,0.061644,NA
DVU1284,0.385,0.1757,0.3869,0.215,0.089,0.45,51.81,0.654,0.615,771,792,-0.020076,0.058081,NA
DVU1285,0.3953,0.1974,0.2958,0.202,0.007,0.401,59.65,0.573,0.547,192,201,-0.007463,0.039801,NA
DVU1286,0.6223,0.0641,0.3865,0.319,0.332,0.594,36.92,0.835,0.591,357,387,0.82739,0.157623,NA
DVU1287,0.6727,0.0909,0.3218,0.353,0.357,0.627,35.82,0.81,0.619,252,261,-0.265134,0.088123,NA
DVU1288,0.7347,0.0366,0.4324,0.355,0.322,0.61,33.67,0.881,0.601,118,126,-0.37381,0.119048,NA
DVU1289,0.6863,0.0916,0.3655,0.36,0.32,0.606,35.06,0.827,0.604,503,536,-0.320709,0.100746,NA
DVU1290,0.576,0.0546,0.3716,0.274,0.247,0.542,40.54,0.787,0.585,310,334,0.546707,0.152695,NA
DVU1291,0.5075,0.25,0.3193,0.249,0.199,0.537,50.79,0.646,0.549,164,175,-0.242286,0.091429,NA
DVU1292,0.36,0.25,0.3333,0.202,0.188,0.536,58,0.536,0.538,56,57,-0.687719,0.070175,NA
DVU4003,0.4575,0.2083,0.2868,0.229,0.201,0.526,49.94,0.63,0.604,173,176,0.090909,0.056818,NA
DVU1294,0.2929,0.2432,0.3277,0.153,-0.034,0.372,60.5,0.52,0.546,223,232,0.088793,0.068966,NA
DVU1295,0.7053,0.108,0.3023,0.418,0.389,0.646,29.49,0.782,0.598,404,427,-0.186183,0.081967,NA
DVU1296,0.3784,0.2353,0.2667,0.23,0.093,0.476,51.02,0.524,0.504,42,43,-0.362791,0.046512,NA
DVU1297,0.2632,0.4286,0.2632,0.207,0.094,0.489,45.62,0.426,0.467,47,50,-0.726,0.04,NA
DVU1298,0.602,0.1048,0.32,0.39,0.39,0.636,33.44,0.752,0.621,121,123,-0.827642,0.03252,NA
DVU1299,0.5546,0.1138,0.3051,0.312,0.268,0.57,40.7,0.685,0.585,149,156,-0.641026,0.083333,NA
DVU1300,0.5905,0.0833,0.3415,0.391,0.33,0.61,37.86,0.735,0.591,667,691,-0.181766,0.065123,NA
DVU1301,0.375,0.1224,0.4783,0.204,0.039,0.441,48.21,0.678,0.622,59,60,-0.35,0.083333,NA
DVU1302,0.5176,0.0714,0.4533,0.34,0.257,0.559,41.85,0.765,0.581,102,105,-0.257143,0.038095,NA
DVU1303,0.6168,0.0778,0.2949,0.399,0.306,0.599,36.15,0.738,0.598,202,209,-0.207656,0.057416,NA
